Unnamed: 0,Nombre,Provincia,Zona,Zona Unificada,Web,Tienda,Tech Stack,Grupo,Mercado Fuerte,% de Exportación,B2B,Vol. Anual (L),Tamaño,Líneas,ETIQ.
152,Familia Zanchetta (Bodega Raffy),Mendoza,Gualtallary,Tupungato,bodega-raffy-zanchetta.com,No tiene,No aplica,Indep.,Ext,40%,Bout,80.000,Boutique,3.0,10.0
153,FENIX,Mendoza,Barrancas,Maipú,fincafenix.online,fincafenix.online/tienda-de-vinos,WooCommerce,Indep.,Arg,15%,Nac,250.000,Boutique,4.0,16.0
154,Ferraro,Mendoza,Agrelo,Luján de Cuyo,ferraro-wines.com,ferraro-wines.com/shop,WooCommerce,Indep.,Arg,15%,Nac,180.000,Boutique,3.0,12.0
155,Ferrer (Finca Ferrer),Mendoza,Gualtallary,Tupungato,fincaferrer.com,fincaferrerwines.mitiendanube.com,Tiendanube,Indep.,Arg,25%,Nac,1.200.000,Mediana,6.0,32.0
156,FILUS S.A.,Mendoza,Lunlunta,Maipú,filuswine.com,No tiene,No aplica,Indep.,Arg,20%,Nac,450.000,Mediana,4.0,20.0
157,FINCA ABRIL S.A.,Mendoza,La Consulta,San Carlos,fincaabril.com,tienda.fincaabril.com,Tiendanube,Indep.,Arg,20%,Nac,300.000,Boutique,4.0,18.0
158,Finca Agostino,Mendoza,Barrancas,Maipú,agostinowinegroup.com,No tiene,No aplica,Indep.,Ext,60%,Intl,1.800.000,Grande,6.0,35.0
159,FINCA LA PRUDENCIA S.R.L.,Mendoza,Alto Verde,San Martín,laprudencia.com.ar,No tiene,No aplica,Indep.,Arg,5%,Nac,3.500.000,Grande,8.0,40.0
160,FINCA REIQUEHUE S.A.,Mendoza,Chilecito,San Carlos,fincareiquehue.com,fincareiquehue.mitiendanube.com,Tiendanube,Indep.,Arg,15%,Nac,280.000,Boutique,3.0,15.0
161,Finca Sophenia,Mendoza,Gualtallary,Tupungato,sophenia.com.ar,tienda.sophenia.com.ar,WooCommerce,Indep.,Arg/Ext,45%,Intl,1.500.000,Mediana,6.0,30.0
162,Flechas de los Andes (Clos de los Siete),Mendoza,Vista Flores,Tunuyán,flechasdelosandes.com,vinoelsalvador.com,WooCommerce,C. de los 7,Ext,75%,Intl,800.000,Mediana,5.0,25.0
163,Flichman,Mendoza,Barrancas,Maipú,flichman.com.ar,tienda.flichman.com.ar,Shopify,Pernod Ricard,Ext,65%,Intl,12.000.000,Grande,12.0,65.0
164,Florio,Mendoza,Cruz de Piedra,Maipú,bodegaflorio.com.ar,No tiene,No aplica,Indep.,Arg,15%,Nac,2.500.000,Grande,7.0,35.0
165,Funckenhausen,Mendoza,San Rafael,San Rafael,funckenhausen.com,No tiene,No aplica,Indep.,Arg,20%,Nac,400.000,Mediana,4.0,18.0
166,Furlotti,Mendoza,Chacras de Coria,Luján de Cuyo,familiafurlotti.com,familiafurlotti.com/tienda,WooCommerce,Indep.,Arg,15%,Nac,150.000,Boutique,3.0,12.0
167,Galan,Mendoza,Cuadro Benegas,San Rafael,bodegagalan.com.ar,mercadolibre.com.ar/pagina/bodegagalan,Mercadolibre,Indep.,Arg,15%,Nac,250.000,Boutique,4.0,16.0
168,Gauchezco,Mendoza,Barrancas,Maipú,gauchezco.com,gauchezco.com/collections/all,Shopify,Indep.,Ext,50%,Intl,900.000,Mediana,5.0,28.0
169,GENARO CACACE E HIJOS SRL,Mendoza,Rivadavia,Rivadavia,bodegagenarocacace.com.ar/,familianavarro.com.ar/tienda,Whatsapp,Indep.,Arg,15%,Nac,2.200.000,Grande,6.0,32.0
170,GIAQUINTA HERMANOS S.R.L.,Mendoza,La Arboleda,Tupungato,familiagiaquinta.com,No tiene,No aplica,Indep.,Arg,15%,Nac,18.000,Proyecto,,
171,GIAROLI,Mendoza,Las Paredes,San Rafael,sites.google.com/view/bodegasgiaroli/la-bodega,No tiene,No aplica,Indep.,Arg,15%,Nac,600.000,Mediana,5.0,22.0
172,Giménez Riili,Mendoza,Los Sauces,Tunuyán,gimenezriili.com,gimenezriili.com/vinos,WooCommerce,Indep.,Arg,20%,Nac,350.000,Mediana,4.0,18.0
173,Giramundo,Mendoza,San Martín,San Martín,giramundowines.com,No tiene,No aplica,Indep.,Mza,5%,DTC,45.000,Proyecto,2.0,8.0
174,Gouguenheim Winery,Mendoza,San José,Tupungato,gouguenheim.com.ar,No tiene,No aplica,Indep.,Ext,65%,Intl,1.500.000,Mediana,6.0,32.0
175,Goulart,Mendoza,Lunlunta,Maipú,goulartwinery.com,goulartwinery.com/tienda,Tiendanube,Indep.,Arg,20%,Nac,300.000,Boutique,4.0,16.0
176,Goyenechea,Mendoza,Villa Atuel,San Rafael,goyenechea.com,No tiene,No aplica,Indep.,Arg,20%,Nac,2.800.000,Grande,8.0,45.0
177,GRAND ESTATE S.A.S,Mendoza,San Rafael,San Rafael,grandestate.com.ar/,No tiene,No aplica,Indep.,Arg,10%,Nac,180.000,Boutique,3.0,14.0
178,Gualtallary (Altus - Gualtallary Wines),Mendoza,Gualtallary,Tupungato,gualtallarywines.com/es/home/,gualtallarywines.com/es/store,WooCommerce,Indep.,Arg,15%,Nac,250.000,Boutique,4.0,18.0
179,GUARDIANES S. A. S,Mendoza,Barrancas,Maipú,No tiene,No tiene,No aplica,Indep.,Arg,10%,Reg,120.000,Boutique,3.0,10.0
180,Hacienda Del Plata,Mendoza,Mayor Drummond,Luján de Cuyo,haciendadelplata.com,No tiene,No aplica,Indep.,Arg,20%,Nac,400.000,Mediana,4.0,20.0
181,HECTOR MELI S.R.L.,Mendoza,San José,Tupungato,familiameli.com/,familiameli.com/shop,WooCommerce,Indep.,Arg,20%,Nac,600.000,Mediana,5.0,25.0
182,Hinojosa,Mendoza,Las Pintadas,Tunuyán,No tiene,No tiene,No aplica,Indep.,Arg,25%,Nac,1.200.000,Mediana,6.0,28.0
183,Homo Felix,Mendoza,Vistalba,Luján de Cuyo,homofelix.ar,No tiene,No aplica,Indep.,Mza,0%,DTC,20.000,Proyecto,2.0,6.0
184,Huarpe,Mendoza,Agrelo,Luján de Cuyo,wht.com.ar/,wht.com.ar/tienda-hr,Whatsapp,Indep.,Arg,25%,Nac,350.000,Mediana,4.0,18.0
185,Huentala Wines,Mendoza,Gualtallary,Tupungato,huentalawines.com.ar/,store.huentalawines.com,Tiendanube,Indep.,Arg,25%,Nac,450.000,Mediana,5.0,22.0
186,Iaccarini,Mendoza,San Rafael,San Rafael,bodegaiaccarini.com.ar/,iaccariniwines.com.ar,Tiendanube,Indep.,Arg,15%,Nac,300.000,Boutique,4.0,16.0
187,Ibarra,Mendoza,Las Paredes,San Rafael,bodegafamiliaibarra.com.ar/,bodegafamiliaibarra.com.ar/familia-ibarra,WooCommerce,Indep.,Arg,15%,Nac,120.000,Boutique,3.0,12.0
188,Iral,Mendoza,Maipú,Maipú,fincairal.com,No tiene,No aplica,Indep.,Mza,5%,DTC,85.000,Boutique,3.0,10.0
189,Iúdica (Iúdica Vinos S.A.),Mendoza,San Roque,Maipú,bodegaiudica.com.ar/,bodegaiudica.com.ar/#catalogo,Whatsapp,Indep.,Arg,15%,Nac,400.000,Mediana,4.0,18.0
190,Jean Rivier,Mendoza,San Rafael,San Rafael,jeanrivier.com,No tiene,No aplica,Indep.,Arg,25%,Nac,800.000,Mediana,5.0,26.0
191,Joffré (RJ Viñedos),Mendoza,Perdriel,Luján de Cuyo,rjvinedos.com,No tiene,No aplica,Indep.,Arg/Ext,30%,Nac,450.000,Mediana,4.0,20.0
192,Kaiken,Mendoza,Vistalba,Luján de Cuyo,kaikenwines.com,No tiene,No aplica,Indep.,Ext,65%,Intl,2.500.000,Grande,7.0,35.0
193,Kalos Wines,Mendoza,Perdriel,Maipú,No tiene,No tiene,No aplica,Indep.,Mza,10%,Reg,60.000,Boutique,2.0,8.0
194,Kineta,Mendoza,Fray Luis Beltrán,Maipú,bodegakineta.com,No tiene,No aplica,Indep.,Arg,15%,Nac,250.000,Boutique,3.0,14.0
195,Krontiras,Mendoza,Las Compuertas,Luján de Cuyo,krontiraswines.com,krontiraswines.com/tienda-organica,WooCommerce,Indep.,Arg,15%,Nac,180.000,Boutique,3.0,12.0
196,La Abeja,Mendoza,San Rafael,San Rafael,bodegalaabeja.com.ar,bodegalaabeja.com.ar/tienda,WooCommerce,Indep.,Arg,15%,Nac,300.000,Boutique,4.0,16.0
197,La Amalia,Mendoza,Carrodilla,Luján de Cuyo,amalia.com.ar,No tiene,No aplica,Indep.,Arg,20%,Nac,800.000,Mediana,5.0,25.0
198,La Azul,Mendoza,Agua Amarga,Tupungato,bodegalaazul.com,No tiene,No aplica,Indep.,Arg,15%,Nac,150.000,Boutique,3.0,12.0
199,La Cayetana,Mendoza,Cruz de Piedra,Maipú,No tiene,No tiene,No aplica,Indep.,Mza,5%,DTC,90.000,Boutique,3.0,10.0
200,La Celia,Mendoza,Eugenio Bustos,San Carlos,laceliawines.com,No tiene,No aplica,Gpo. Roemmers,Ext,70%,Intl,4.000.000,Grande,8.0,42.0
201,La Coste de los Andes,Mendoza,Los Chacayes,Tunuyán,lacostedelosandes.com.ar,lacostedelosandes.com.ar/productos,Tiendanube,Indep.,Ext,50%,Intl,120.000,Boutique,3.0,12.0
202,La Finquita 1920,Mendoza,Maipú,Maipú,lafinquita1920.com.ar,No tiene,No aplica,Indep.,Mza,5%,DTC,75.000,Boutique,2.0,8.0
203,La Giostra del Vino,Mendoza,Agrelo,Luján de Cuyo,No tiene,No tiene,No aplica,Indep.,Arg,10%,Reg,40.000,Proyecto,2.0,6.0
204,LA IRIDE S.R.L.,Mendoza,Rodeo del Medio,Maipú,lairide.com.ar,tienda.lairide.com,WooCommerce,Indep.,Arg,20%,Nac,3.500.000,Grande,7.0,38.0
205,La Liga de los Enólogos - Grupo Peñaflor,Mendoza,Coquimbito,Maipú,laligadeenologos.com.ar,vinosyspirits.com,Shopify,Gpo. Peñaflor,Arg,15%,Nac,2.000.000,Grande,5.0,22.0
206,La Luz,Mendoza,Villa Seca,Tunuyán,No tiene,No tiene,No aplica,Indep.,Arg,25%,Nac,1.800.000,Grande,6.0,30.0
207,La Rosa - Grupo Peñaflor,Mendoza,Coquimbito,Maipú,No tiene,vinosyspirits.com,Shopify,Gpo. Peñaflor,Arg,25%,Intl,6.000.000,Grande,9.0,48.0
208,La Rural,Mendoza,Coquimbito,Maipú,bodegalarural.com.ar,No tiene,No aplica,Indep.,Arg,30%,Intl,"8.500,000",Grande,11.0,60.0
209,LA VENDIMIA S.A.I.C.F.,Mendoza,San Rafael,San Rafael,bodegalavendimia.com,No tiene,No aplica,Indep.,Arg,10%,Nac,2.200.000,Grande,6.0,35.0
210,La Vieja Bodega Serra,Mendoza,Rama Caída,San Rafael,bodegaserra.com.ar,bodegaserra.com.ar/tienda,WooCommerce,Indep.,Arg,15%,Nac,400.000,Mediana,4.0,18.0
211,Labiano,Mendoza,Rama Caída,San Rafael,bodegalabiano.com,bodegalabiano.com/labiano/tienda,WooCommerce,Indep.,Arg,20%,Nac,600.000,Mediana,5.0,24.0
212,Lagarde,Mendoza,Mayor Drummond,Luján de Cuyo,lagarde.com.ar,mercadolibre.com.ar/tienda/lagarde,Mercado Libre,Indep.,Arg,30%,Intl,2.100.000,Grande,7.0,38.0
213,Lamadrid Estate Wines,Mendoza,Agrelo,Luján de Cuyo,lamadridwines.com,lamadridwines.com/lamadrid-clasicos,WooCommerce,Indep.,Arg/Ext,45%,Intl,650.000,Mediana,5.0,26.0
214,Las Moras - Grupo Peñaflor,San Juan,Zonda y Pedernal,San Juan,fincalasmoras.com.ar,vinosyspirits.com,Shopify,Gpo. Peñaflor,Arg,30%,Intl,18.000.000,Grande,12.0,70.0
215,Laureano Gomez,Mendoza,Tunuyán,Tunuyán,bodegagarage.com,No tiene,Whatsapp,Indep.,Mza,5%,DTC,45.000,Proyecto,2.0,8.0
216,Llaver,Mendoza,San Martín,San Martín,No tiene,No tiene,No aplica,Indep.,Arg,15%,Nac,2.500.000,Grande,6.0,32.0
217,LOMAS DEL MALBEC S.A.,Mendoza,Ugarteche,Luján de Cuyo,lomasdelmalbec.com,No tiene,No aplica,Indep.,Arg,20%,Nac,800.000,Mediana,5.0,25.0
218,López,Mendoza,Gutiérrez,Maipú,bodegaslopez.com.ar,No tiene,No aplica,Indep.,Arg,15%,Nac,15.000.000,Grande,14.0,85.0
219,Lorenzo de Agrelo,Mendoza,Agrelo,Luján de Cuyo,lorenzowines.com.ar,lorenzowines.com.ar/shop-list,WooCommerce,Indep.,Arg,15%,Nac,120.000,Boutique,3.0,12.0
220,Los Haroldos,Mendoza,San Martín,San Martín,losharoldos.com,familiafalasco.com,Shopify,Fam. Falasco,Arg,15%,Nac,40.000.000,Grande,15.0,90.0
221,Los Helechos,Mendoza,El Peral,Tupungato,No tiene,tienda.fecovita.com,Shopify,Fecovita,Arg,20%,Nac,1.500.000,Mediana,6.0,30.0
222,Los Maza,Mendoza,Maipú,Maipú,flmwines.com,No tiene,No aplica,Indep.,Arg,15%,Nac,350.000,Mediana,4.0,18.0
223,Los Noques (Bonetto),Mendoza,La Consulta,San Carlos,losnoques.com,No tiene,No aplica,Indep.,Arg,15%,Nac,180.000,Boutique,3.0,14.0
224,Los Toneles,Mendoza,Guaymallén,Guaymallén,bodegalostoneles.com,www.tienda.familiamillan.com,Tiendanube,Fam. Millán,Arg,25%,Intl,3.500.000,Grande,8.0,45.0
225,Luca,Mendoza,Gualtallary,Tupungato,lucawines.com,No tiene,No aplica,Catena Fam.,Ext,75%,Intl,250.000,Boutique,4.0,16.0
226,Lui Wines,Mendoza,Vista Flores,Tunuyán,luiwines.com,tienda.luiwines.com,WooCommerce,Indep.,Arg,10%,Reg,90.000,Boutique,3.0,12.0
227,Luigi Bosca,Mendoza,Mayor Drummond,Luján de Cuyo,luigibosca.com,tienda.luigibosca.com,VTEX,Indep.,Arg,40%,Intl,6.000.000,Grande,12.0,65.0
228,LUIS MORA S.A.,Mendoza,Ugarteche,Luján de Cuyo,bodegaluismora.com.ar,No tiene,No aplica,Indep.,Arg,15%,Nac,1.800.000,Grande,6.0,32.0
229,Luis Segundo Correas,Mendoza,Medrano,Rivadavia,bodegacorreas.com.ar,No tiene,No aplica,Indep.,Arg,20%,Nac,,Desconocido,,
230,Lupa Wines,Mendoza,Gualtallary,Tupungato,lupawines.com,lupawines.com/tienda,WooCommerce,Indep.,Mza,5%,DTC,25.000,Proyecto,2.0,5.0
231,Maal Wines,Mendoza,Las Compuertas,Luján de Cuyo,maalwines.com,maal4.mitiendanube.com,Tiendanube,Indep.,Arg,20%,Nac,120.000,Boutique,3.0,10.0
232,Magna Montis,Mendoza,Paraje Altamira,San Carlos,magnamontis.com,No tiene,No aplica,Indep.,Mza,5%,DTC,45.000,Proyecto,2.0,7.0
233,MAINQUE,Mendoza,Cruz de Piedra,Maipú,bodegasmainque.com.ar,bodegasmainque.com.ar/tienda,WooCommerce,Indep.,Arg,15%,Nac,250.000,Boutique,3.0,14.0
234,MAISON NEUVE S.R.L.,Mendoza,Rivadavia,Rivadavia,rougemaison.com.ar/,rougemaison.com.ar/,VTEX,Indep.,Arg,15%,Nac,800.000,Mediana,5.0,24.0
235,MAKILA SRL,Mendoza,Cañada Seca,San Rafael,makilabodega.com.ar,tiendamakila.com.ar,Empretienda,Indep.,Mza,5%,DTC,60.000,Boutique,2.0,8.0
236,MANUEL M MUSSE Y OTRA,Mendoza,Medrano,Rivadavia,familiamusse.com,familiamusse.com/tienda,WooCommerce,Indep.,Arg,15%,Nac,400.000,Mediana,4.0,18.0
237,Marcelo Pelleriti Wines,Mendoza,Vista Flores,Tunuyán,pelleritipriore.com,pelleritipriore.store,Shopify,Indep.,Arg,20%,Nac,180.000,Boutique,4.0,16.0
238,Marchiori & Barraud,Mendoza,Perdriel,Luján de Cuyo,marchioribarraud.com,No tiene,No aplica,Indep.,Arg,15%,Reg,90.000,Boutique,3.0,10.0
239,Margot - Quincho Maula,Mendoza,El Álamo,Tupungato,bodegamargot.com.ar/,No tiene,No aplica,Indep.,Arg,15%,Nac,150.000,Boutique,3.0,12.0
240,Martha,Mendoza,San Rafael,San Rafael,fincamartha.com,No tiene,No aplica,Indep.,Ext,60%,Intl,2.500.000,Grande,7.0,35.0
241,Martino Wines,Mendoza,Mayor Drummond,Luján de Cuyo,martinowines.com.ar,tienda.martinowines.com.ar,WooCommerce,Indep.,Arg,20%,Nac,300.000,Boutique,4.0,18.0
242,Mascota Vineyards - Grupo Peñaflor,Mendoza,Cruz de Piedra,Maipú,mascotavineyards.com,vinosyspirits.com,Shopify,Gpo. Peñaflor,Ext,70%,Intl,2.800.000,Grande,8.0,42.0
243,Masi Tupungato,Mendoza,La Arboleda,Tupungato,masitupungato.com,No tiene,No aplica,Indep.,Ext,60%,Intl,450.000,Mediana,4.0,16.0
244,Mastroeni,Mendoza,Mayor Drummond,Luján de Cuyo,No tiene,No tiene,No aplica,Indep.,Arg,20%,Nac,600.000,Mediana,5.0,25.0
245,Matervini,Mendoza,Perdriel,Luján de Cuyo,matervini.com,No tiene,No aplica,Indep.,Ext,40%,Bout,80.000,Boutique,3.0,9.0
246,MAURICIO LORCA S.A.,Mendoza,Perdriel,Luján de Cuyo,bodegafosterlorca.com,bodegafosterlorca.com/tienda,WooCommerce,Foster Lorca,Arg/Ext,45%,Intl,1.200.000,Mediana,6.0,35.0
247,Mayol,Mendoza,Perdriel,Luján de Cuyo,No tiene,No tiene,No aplica,Indep.,Arg,20%,Nac,250.000,Boutique,3.0,15.0
248,Melipal,Mendoza,Agrelo,Luján de Cuyo,No tiene,No tiene,No aplica,Indep.,Arg,25%,Nac,600.000,Mediana,5.0,24.0
249,Mendel,Mendoza,Mayor Drummond,Luján de Cuyo,mendel.com.ar,No tiene,No aplica,Indep.,Arg/Ext,50%,Intl,450.000,Mediana,4.0,18.0
250,Mendoza Vineyeards,Mendoza,Agrelo,Luján de Cuyo,mendozavineyards.com,No tiene,No aplica,Indep.,Ext,70%,Intl,4.000.000,Grande,8.0,48.0
251,Mesidor (Cooperativa Vitivinícola Nueva California),Mendoza,Nueva California,San Martín,bodeganuevacalifornia.com/,bodeganuevacalifornia.mitiendanube.com,Tiendanube,Coop.,Arg,5%,Nac,15.000.000,Grande,10.0,50.0
252,Mevi,Mendoza,Maipú,Maipú,fincamevi.com.ar,mevi.ar,Tiendanube,Indep.,Arg,15%,Nac,250.000,Boutique,3.0,14.0
253,Mi Terruño,Mendoza,Maipú,Maipú,bodegamiterruno.com.ar,tiendabodegamiterruno.mitiendanube.com,Tiendanube,Indep.,Arg/Ext,40%,Intl,1.200.000,Mediana,6.0,32.0
254,MIGUEL MINNI,Mendoza,Perdriel,Luján de Cuyo,bodegamiguelminni.com.ar,No tiene,No aplica,Indep.,Arg,25%,Nac,800.000,Mediana,5.0,26.0
255,Mil Suelos (Proyecto Enológico),Mendoza,Chachingo,Maipú,milsuelos.com,milsuelos.com/tienda,WooCommerce,Indep.,Arg,20%,Nac,180.000,Boutique,4.0,18.0
256,Minimal,Mendoza,Maipú,Maipú,No tiene,No tiene,No aplica,Indep.,Mza,0%,DTC,15.000,Proyecto,1.0,4.0
257,Monte Quieto Sa,Mendoza,Agrelo,Luján de Cuyo,montequieto.com,No tiene,No aplica,Indep.,Arg,20%,Nac,220.000,Boutique,4.0,16.0
258,Monteviejo,Mendoza,Vista Flores,Tunuyán,monteviejo.com.ar,wines.monteviejo.com.ar,Shopify,C. de los 7,Arg/Ext,50%,Intl,1.500.000,Mediana,6.0,30.0
259,MONTLAIZ,Mendoza,Montecaseros,San Martín,montlaiz.com,montlaiz.com/tienda,WooCommerce,Indep.,Ext,60%,Intl,3.500.000,Grande,7.0,40.0
260,Mundo Revés,Mendoza,Tupungato,Tupungato,mundoreveswines.com,mundoreves.mitiendanube.com,Tiendanube,Indep.,Mza,10%,Reg,,Desconocido,,
261,Nasha Wines,Mendoza,Luján de Cuyo,Luján de Cuyo,No tiene,No tiene,No aplica,Indep.,Mza,0%,DTC,12.000,Proyecto,1.0,3.0
262,Navarro Correas - Grupo Peñaflor,Mendoza,Godoy Cruz,Godoy Cruz,navarrocorreas.com.ar/es/,vinosyspirits.com/,Shopify,Gpo. Peñaflor,Arg,25%,Intl,8.500.000,Grande,10.0,55.0
263,Nieto Senetiner,Mendoza,Vistalba,Luján de Cuyo,nietosenetiner.com.ar,No tiene,No aplica,Gpo. Molinos,Arg,25%,Intl,12.000.000,Grande,14.0,75.0
264,Niven,Mendoza,Junín,Junín,No tiene,No tiene,No aplica,Indep.,Arg,15%,Reg,90.000,Boutique,3.0,12.0
265,Norton,Mendoza,Perdriel,Luján de Cuyo,norton.com.ar,shop.norton.com.ar,Shopify,Indep.,Ext,60%,Intl,10.800.000,Grande,15.0,95.0
266,O. Fournier (Santa Sofía),Mendoza,La Consulta,San Carlos,ofournier.com,No tiene,No aplica,Indep.,Ext,60%,Intl,800.000,Mediana,5.0,25.0
267,Ojo de Agua,Mendoza,Agrelo,Luján de Cuyo,ojodeagua.global,No tiene,No aplica,Indep.,Ext,65%,Intl,450.000,Mediana,4.0,20.0
268,Onofri Wines,Mendoza,Lavalle,Lavalle,No tiene,No tiene,No aplica,Indep.,Mza/Arg,10%,Bout,35.000,Proyecto,2.0,7.0
269,Otero Ramos,Mendoza,Mayor Drummond,Luján de Cuyo,No tiene,No tiene,No aplica,Indep.,Arg,20%,Nac,300.000,Boutique,4.0,16.0
270,Palo Alto,Mendoza,San Martín,San Martín,bodegapaloalto.com.ar/es,bodegapaloalto3.mitiendanube.com,Tiendanube,Indep.,Arg,20%,Nac,1.200.000,Mediana,6.0,32.0
271,Paso a Paso Wines,Mendoza,El Algarrobal,Las Heras,pasoapasowines.com.ar,No tiene,No aplica,Indep.,Mza/Arg,5%,DTC,25.000,Proyecto,2.0,6.0
272,PATRON SANTIAGO S.A.,Mendoza,Rodeo del Medio,Maipú,patronsantiago.com,No tiene,No aplica,Indep.,Arg,20%,Nac,800.000,Mediana,5.0,25.0
273,Penedo Borges Boutique,Mendoza,Agrelo,Luján de Cuyo,penedoborges.com,tienda.penedoborges.com.ar,Shopify,Indep.,Arg,15%,Nac,150.000,Boutique,3.0,14.0
274,PER SE VINES SA,Mendoza,Gualtallary,Tupungato,persevines.com/,https://persevines.com/tienda/,WooCommerce,Indep.,Ext,40%,Bout,18.000,Proyecto,1.0,4.0
275,Piattelli,Mendoza,Agrelo,Luján de Cuyo,piattellivineyards.com,piattellidirect.com/shop,WooCommerce,Indep.,Ext,60%,Intl,800.000,Mediana,5.0,28.0
276,Piedra Negra (François Lurton),Mendoza,Vista Flores,Luján de Cuyo,bodegapiedranegra.com/,tienda.bodegapiedranegra.com,Shopify,Indep.,Ext,70%,Intl,900.000,Mediana,6.0,30.0
277,Poesia,Mendoza,Las Compuertas,Luján de Cuyo,No tiene,No tiene,No aplica,Indep.,Arg,15%,Nac,120.000,Boutique,3.0,10.0
278,Privado Oasis Sur (Jorge Rubio),Mendoza,General Alvear,General Alvear,autorjorgerubio.com.ar/,tienda.autorjorgerubio.com.ar/,Tiendanube,Indep.,Arg,15%,Nac,1.800.000,Grande,6.0,35.0
279,Proemio Wines,Mendoza,Russell,Maipú,proemiowines.com,No tiene,No aplica,Indep.,Ext,50%,Intl,600.000,Mediana,5.0,24.0
280,Pulenta Estate,Mendoza,Agrelo,Luján de Cuyo,pulentaestate.com,No tiene,No aplica,Indep.,Arg/Ext,50%,Intl,1.500.000,Mediana,7.0,35.0
281,Puramun,Mendoza,San José,Tupungato,No tiene,No tiene,No aplica,Indep.,Arg,15%,Reg,90.000,Boutique,3.0,12.0
282,QUATTROCCHI,Mendoza,Costa de Araujo,Lavalle,bodegaquattrocchi.com.ar,No tiene,No aplica,Indep.,Arg,15%,Nac,2.500.000,Grande,7.0,38.0
283,RAMA CAIDA S.A.,Mendoza,Rama Caída,San Rafael,ramacaida.com,No tiene,No aplica,Indep.,Arg,5%,Nac,3.500.000,Grande,8.0,45.0
284,Raquis,Mendoza,Las Compuertas,Luján de Cuyo,raquis.ar,No tiene,No aplica,Indep.,Mza,5%,DTC,25.000,Proyecto,2.0,6.0
285,Renacer,Mendoza,Perdriel,Luján de Cuyo,bodegarenacer.com.ar,No tiene,No aplica,Gpo. Molinos,Ext,50%,Intl,1.200.000,Mediana,6.0,32.0
286,REVAL SAN ISIDRO S.A.,Mendoza,Rivadavia,Rivadavia,revalsanisidro.com.ar,No tiene,No aplica,Indep.,Arg,5%,Nac,4.000.000,Grande,8.0,48.0
287,Ricardo Santos,Mendoza,Russell,Maipú,ricardosantos.com/main/index.php/,ricardosantos.com/main/?page_id=3935,WooCommerce,Indep.,Arg/Ext,40%,Intl,350.000,Mediana,4.0,18.0
288,Riccitelli Wines,Mendoza,Las Compuertas,Luján de Cuyo,matiasriccitelli.com,matiasriccitelli.com/tienda,WooCommerce,Indep.,Arg/Ext,45%,Intl,450.000,Mediana,5.0,22.0
289,Richardi Fazio Menegazzo,Mendoza,Rodeo de la Cruz,Guaymallén,bodegarfm.com.ar,No tiene,No aplica,Indep.,Arg,15%,Nac,120.000,Boutique,3.0,14.0
290,Ricominciare,Mendoza,La Consulta,San Carlos,ricominciare.com.ar,No tiene,No aplica,Indep.,Arg,10%,Reg,80.000,Boutique,3.0,10.0
291,Riglos,Mendoza,Agrelo,Luján de Cuyo,rigloswines.com,wht.com.ar/tienda-hr,Whatsapp,Indep.,Arg/Ext,40%,Intl,180.000,Boutique,4.0,15.0
292,Rolland,Mendoza,Vista Flores,Tunuyán,bodegarolland.com,bodegarolland.com/tienda,WooCommerce,C. de los 7,Ext,75%,Intl,250.000,Boutique,4.0,16.0
293,Rosell Boher,Mendoza,Chacras de Coria,Luján de Cuyo,rosellboher.com/,tienda.rosellboher.com,Shopify,Indep.,Arg/Ext,40%,Intl,600.000,Mediana,5.0,25.0
294,RUBINO HNOS.SACIFA,Mendoza,Rodeo de la Cruz,Guaymallén,familiarubino.com,shop.familiarubino.com,Shopify,Indep.,Arg,20%,Nac,1.800.000,Grande,6.0,32.0
295,Ruca Malén,Mendoza,Agrelo,Luján de Cuyo,bodegarucamalen.com,No tiene,No aplica,Gpo. Molinos,Arg/Ext,45%,Intl,1.500.000,Mediana,6.0,30.0
296,Ruggeri,Mendoza,Mayor Drummond,Luján de Cuyo,bodegaruggeri.com,No tiene,No aplica,Indep.,Arg,20%,Nac,350.000,Mediana,4.0,18.0
297,Rutini (La Rural),Mendoza,Coquimbito,Maipú,rutiniwines.com,tienda.rutiniwines.com,Shopify,Indep.,Arg/Ext,45%,Intl,7.500.000,Grande,11.0,65.0
298,Salada Wines,Mendoza,San Rafael,San Rafael,seladawines.com,No tiene,No aplica,Indep.,Mza,0%,DTC,25.000,Proyecto,2.0,6.0
299,Salentein,Mendoza,Los Árboles,Tunuyán,bodegasalentein.com,bodegasalentein.com/mediasiteintro,Custom,Gpo. Salentein,Ext,60%,Intl,9.000.000,Grande,9.0,40.0
300,San Humberto,Mendoza,Vistalba,Luján de Cuyo,www.bodegassanhuberto.com.ar,No tiene,No aplica,Indep.,Arg,25%,Nac,2.500.000,Grande,7.0,38.0
301,San Polo,Mendoza,La Consulta,San Carlos,sanpolo.com.ar,No tiene,No aplica,Indep.,Arg,25%,Nac,800.000,Mediana,5.0,28.0
302,San Telmo - Grupo Peñaflor,Mendoza,Cruz de Piedra,Maipú,bodegasantelmo.com.ar,vinosyspirits.com,Shopify,Gpo. Peñaflor,Arg,25%,Intl,8.000.000,Grande,10.0,50.0
303,SANCHEZ S.A.,Mendoza,El Carrizal,Luján de Cuyo,bodegasanchezsa.com,No tiene,No aplica,Indep.,Arg,20%,Nac,1.500.000,Mediana,6.0,30.0
